id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
44527,120215,2025-06-17,Isole,Cannaregio,45.44569,12.32902,Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,2,365,2,2,1125,1125,$454.00,t,26,42,66,325,2025-06-17,,150,11,1,2011-04-27,2025-06-10,0.87,4.87,4.84,4.75,4.94,4.94,4.91,4.72,f,t,within an hour,100%,100%,t,t,2010-05-07,Cannaregio,2,2,0,0,IT027042B4GR0PSZS4
6004356,120215,2025-06-17,Isole,Castello,45.43155,12.35466,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,3,1125,3,3,1125,1125,$209.00,t,9,25,46,312,2025-06-17,,21,5,0,2015-05-04,2025-05-10,0.17,4.76,4.62,4.76,4.9,4.9,4.86,4.48,f,t,within an hour,100%,100%,t,t,2010-05-07,Cannaregio,2,2,0,0,IT027042B44QVNEAP4
166381,214390,2025-06-17,Isole,San Polo,45.43821,12.3328,Room in bed and breakfast,Hotel room,2,,1.0,,2,90,2,2,1125,1125,,t,8,30,48,306,2025-06-17,,475,42,4,2014-03-25,2025-06-07,3.47,4.94,4.96,4.99,4.95,4.97,4.96,4.84,t,t,within an hour,100%,100%,t,t,2010-08-27,San Polo,4,1,0,0,IT027042B4D3D4AUUS
47383,214390,2025-06-17,Isole,San Polo,45.43921,12.3331,Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,2,90,2,2,1125,1125,$133.00,t,10,35,55,313,2025-06-17,,414,21,2,2010-09-24,2025-05-25,2.31,4.93,4.96,4.99,4.99,4.98,4.94,4.88,t,t,within an hour,100%,100%,t,t,2010-08-27,San Polo,4,1,0,0,IT027042B4D3D4AUUS
4044438,214390,2025-06-17,Isole,Santa Croce,45.44002,12.33094,Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,2,90,2,2,1125,1125,$163.00,t,13,39,51,300,2025-06-17,,373,39,3,2014-11-03,2025-06-07,2.88,4.95,4.97,4.98,4.97,4.97,4.95,4.86,t,t,within an hour,100%,100%,t,t,2010-08-27,San Polo,4,1,0,0,IT027042B4D3D4AUUS
167168,214390,2025-06-17,Isole,San Polo,45.439,12.3319,Entire serviced apartment,Entire home/apt,8,4.0,4.0,4.0,4,1125,4,4,1125,1125,$494.00,t,22,52,72,341,2025-06-17,,14,0,0,2015-01-03,2024-01-03,0.11,4.86,4.57,4.86,4.93,5.0,4.93,4.79,f,t,within an hour,100%,100%,t,t,2010-08-27,San Polo,4,1,0,0,IT027042B4D3D4AUUS
49656,226598,2025-06-17,Isole,Dorsoduro,45.43549,12.32612,Entire rental unit,Entire home/apt,2,1.0,2.0,2.0,3,31,3,5,1125,1125,$140.00,t,15,43,63,284,2025-06-17,,137,15,1,2012-11-06,2025-05-24,0.89,4.82,4.84,4.78,4.96,4.96,4.96,4.78,t,t,within an hour,100%,100%,t,t,2010-09-07,Dorsoduro/Accademia,2,2,0,0,IT027042C2L6NZYNJR
11351234,226598,2025-06-17,Isole,San Polo,45.43648,12.32838,Entire rental unit,Entire home/apt,3,1.0,2.0,3.0,3,45,3,5,1125,1125,$163.00,t,10,23,49,286,2025-06-17,,155,13,2,2016-09-13,2025-05-30,1.45,4.92,4.95,4.88,4.98,4.95,4.88,4.84,t,t,within an hour,100%,100%,t,t,2010-09-07,Dorsoduro/Accademia,2,2,0,0,IT027042C2O5LGZE6B
92159,289023,2025-06-17,Isole,Giudecca,45.42703,12.31827,Private room in bed and breakfast,Private room,2,0.5,1.0,1.0,2,730,1,2,730,730,$90.00,t,11,25,39,216,2025-06-17,,454,26,3,2011-06-21,2025-06-02,2.66,4.78,4.77,4.84,4.9,4.91,4.78,4.67,f,t,within an hour,100%,100%,t,t,2010-11-16,Giudecca,2,0,2,0,IT027042C1NT8RRIFS
61714,289023,2025-06-17,Isole,Giudecca,45.42708,12.31823,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,2,730,1,2,730,730,$100.00,t,14,29,45,217,2025-06-17,,473,36,1,2011-02-27,2025-06-01,2.72,4.86,4.86,4.89,4.91,4.92,4.79,4.77,f,t,within an hour,100%,100%,t,t,2010-11-16,Giudecca,2,0,2,0,IT027042C1NT8RRIFS
