id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
2884914,435488189,2025-06-17,Isole,Cannaregio,45.4464,12.33121,Entire condo,Entire home/apt,6,1.0,3.0,4.0,3,28,1,3,28,28,$179.00,t,17,47,77,263,2025-06-17,,193,18,3,2014-06-10,2025-06-02,1.44,4.76,4.83,4.72,4.76,4.77,4.91,4.74,t,f,within an hour,100%,100%,t,t,2021-12-10,,1,1,0,0,IT027042C29TAZDHXL
8861830,581719407,2025-06-17,Terraferma,Carpenedo,45.50341,12.26383,Private room in home,Private room,2,1.0,1.0,1.0,1,1125,1,3,100,1125,$75.00,t,1,12,14,251,2025-06-17,,473,25,0,2016-03-16,2025-01-04,4.2,4.94,4.96,4.93,4.99,4.99,4.76,4.92,f,t,within a few hours,100%,92%,t,t,2024-06-05,,8,2,6,0,IT027042B42ENENIIC
11037556,571265717,2025-06-17,Terraferma,Zona Commerciale via Torino,45.48486,12.25056,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2,28,2,2,28,28,$75.00,t,16,37,67,116,2025-06-17,,205,35,5,2016-03-24,2025-06-14,1.82,4.74,4.79,4.77,4.86,4.91,4.52,4.68,f,f,,,,t,t,2024-04-08,,5,5,0,0,IT027042C2D6BVJ3VC
11093328,571265717,2025-06-17,Terraferma,Zona Commerciale via Torino,45.48685073852539,12.25044059753418,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2,30,2,2,30,30,$76.00,t,16,42,64,110,2025-06-17,,85,7,5,2016-03-30,2025-06-11,0.76,4.84,4.92,4.81,4.82,4.88,4.71,4.85,f,f,,,,t,t,2024-04-08,,5,5,0,0,IT027042C2W6A3D67E
11193552,578031800,2025-06-17,Isole,San Marco,45.43392,12.32929,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7,120,7,7,1125,1125,$154.00,t,0,0,0,76,2025-06-17,,60,1,0,2016-04-08,2025-05-16,0.54,4.87,4.82,4.92,4.93,4.97,4.95,4.78,f,f,,,,t,t,2024-05-17,,1,1,0,0,IT027042C26FT7YB9Q
11650027,581719407,2025-06-17,Terraferma,Carpenedo,45.50281,12.26581,Private room in home,Private room,3,1.0,1.0,1.0,1,1125,1,3,100,1125,$75.00,t,1,14,15,252,2025-06-17,,438,20,1,2016-04-06,2025-05-26,3.91,4.96,4.97,4.96,4.96,4.98,4.76,4.91,f,t,within a few hours,100%,92%,t,t,2024-06-05,,8,2,6,0,IT027042B42ENENIIC
11938882,581719407,2025-06-17,Terraferma,Carpenedo,45.50314,12.26387,Private room in home,Private room,2,1.0,1.0,1.0,1,1125,1,3,100,1125,$75.00,t,1,8,19,256,2025-06-17,,384,18,0,2016-04-24,2024-11-13,3.45,4.94,4.97,4.94,4.97,4.98,4.73,4.9,f,t,within a few hours,100%,92%,t,t,2024-06-05,,8,2,6,0,IT027042B42ENENIIC
14350809,571265717,2025-06-17,Terraferma,Altobello,45.488,12.2492,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2,28,2,2,28,28,$79.00,t,25,55,84,129,2025-06-17,,174,35,5,2016-09-01,2025-06-15,1.63,4.75,4.84,4.83,4.81,4.81,4.63,4.66,f,f,,,,t,t,2024-04-08,,5,5,0,0,IT027042C2ASJI5QUV
15748398,502486069,2025-06-17,Terraferma,Marghera,45.46717,12.22063,Entire condo,Entire home/apt,4,2.0,2.0,3.0,1,15,1,2,1125,1125,$100.00,t,18,37,64,80,2025-06-17,,280,60,6,2016-11-01,2025-05-31,2.67,4.8,4.84,4.77,4.84,4.88,4.67,4.71,t,f,within an hour,100%,100%,t,t,2023-02-23,,1,1,0,0,IT027042C2HHJN76RC
17454741,571265717,2025-06-17,Terraferma,Zona Commerciale via Torino,45.48482,12.25177,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2,28,2,2,28,28,$82.00,t,24,54,82,131,2025-06-17,,215,32,3,2017-04-10,2025-06-12,2.16,4.82,4.86,4.8,4.87,4.91,4.66,4.75,f,f,,,,t,t,2024-04-08,,5,5,0,0,IT027042C2O2R5Z2FI
