id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
60304,290452,2025-06-17,Isole,Cannaregio,45.44453,12.333,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,1,1000,1,5,1125,1125,$162.00,t,0,0,0,19,2025-06-17,,160,0,0,2011-07-12,2023-05-06,0.94,4.89,4.85,4.94,4.92,4.85,4.82,4.8,f,f,within a day,100%,75%,t,t,2010-11-18,Cannaregio,2,0,2,0,IT027042B4JG3TJH56
69877,351965,2025-06-17,Isole,Dorsoduro,45.43218,12.32572,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,2,8,2,2,8,8,$141.00,t,30,60,90,304,2025-06-17,,6,0,0,2013-05-12,2017-05-11,0.04,4.33,4.67,4.83,4.33,4.17,5.0,4.33,f,f,within a day,100%,8%,t,t,2011-01-18,Dorsoduro/Accademia,3,0,3,0,IT027042B4XVN5TFC6
83610,434231,2025-06-17,Isole,Castello,45.43442,12.34854,Entire rental unit,Entire home/apt,4,1.0,2.0,5.0,31,365,31,31,365,365,$126.00,t,15,45,52,319,2025-06-17,,9,1,0,2012-10-03,2024-09-05,0.06,3.88,3.78,3.56,4.44,4.0,4.67,3.33,f,f,a few days or more,40%,50%,t,t,2011-03-10,SS.Annuziata,1,1,0,0,
256874,1351366,2025-06-17,Isole,Castello,45.43625,12.3456,Private room in bed and breakfast,Private room,2,1.0,1.0,2.0,4,28,2,4,28,28,$116.00,t,13,39,58,309,2025-06-17,,28,1,0,2012-05-16,2024-10-28,0.18,4.71,4.56,4.81,4.78,4.85,4.85,4.74,f,f,within a day,67%,26%,t,t,2011-10-30,Castello,2,0,2,0,IT027042B4IXU5WOT8
261640,1351366,2025-06-17,Isole,Castello,45.43627,12.34559,Private room in bed and breakfast,Private room,2,1.0,1.0,3.0,3,100,2,3,100,100,$127.00,t,7,24,43,300,2025-06-17,,62,1,0,2014-05-06,2024-10-10,0.46,4.77,4.83,4.88,4.9,4.87,4.9,4.73,f,f,within a day,67%,26%,t,t,2011-10-30,Castello,2,0,2,0,IT027042B4IXU5WOT8
630388,381172,2025-06-17,Isole,Castello,45.43818,12.34618,Entire condo,Entire home/apt,2,1.0,1.0,1.0,3,30,3,3,30,30,$81.00,t,17,42,67,67,2025-06-17,,236,23,2,2012-12-01,2025-06-09,1.55,4.59,4.72,4.31,4.8,4.89,4.76,4.46,f,f,within a day,90%,82%,t,t,2011-02-07,Castello,1,1,0,0,IT027042C2XKPCFB26
693812,3549494,2025-06-17,Isole,Giudecca,45.42567,12.33525,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,2,1125,2,2,1125,1125,$373.00,t,29,59,89,364,2025-06-17,,65,1,0,2013-10-15,2024-10-13,0.46,4.78,4.86,4.97,4.89,4.8,4.91,4.78,f,f,within a day,50%,46%,t,t,2012-09-12,Giudecca,9,9,0,0,IT027042B4S8HI3VX8
855214,3290752,2025-06-17,Isole,Castello,45.4382,12.34953,Entire rental unit,Entire home/apt,3,1.0,3.0,3.0,31,540,31,31,540,540,$150.00,t,0,0,0,198,2025-06-17,,32,3,0,2013-01-03,2024-10-31,0.21,4.84,4.84,4.84,4.94,4.81,4.94,4.78,f,t,within a day,100%,100%,t,t,2012-08-17,,1,1,0,0,
879892,351965,2025-06-17,Isole,Dorsoduro,45.43091,12.32429,Private room in bed and breakfast,Private room,3,1.0,1.0,1.0,2,7,2,2,7,7,$128.00,t,29,59,89,364,2025-06-17,,4,0,0,2013-08-07,2016-03-29,0.03,4.33,4.5,4.75,4.5,4.25,4.5,3.75,f,f,within a day,100%,8%,t,t,2011-01-18,Dorsoduro/Accademia,3,0,3,0,IT027042B4XVN5TFC6
895952,632312,2025-06-17,Isole,Castello,45.4365,12.34511,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,3,30,1,7,30,30,$136.00,t,21,42,63,327,2025-06-17,,28,0,0,2013-04-08,2024-01-25,0.19,4.29,4.46,4.3,4.37,4.44,4.7,4.3,f,f,within a day,88%,29%,t,t,2011-05-27,Castello,6,6,0,0,IT027042B4PEHEB9LA
962131,5240699,2025-06-17,Isole,Castello,45.4364,12.33942,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,3,30,3,3,1125,1125,$183.00,t,19,27,39,274,2025-06-17,,7,1,0,2017-05-14,2024-10-07,0.07,5.0,4.86,4.86,5.0,5.0,4.83,4.83,t,f,within a day,100%,100%,t,f,2013-02-26,San Marco,3,3,0,0,IT027042B4SJ5D7MXR
963154,5240699,2025-06-17,Isole,San Marco,45.4367,12.33721,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,3,60,3,3,1125,1125,$292.00,t,15,30,43,294,2025-06-17,,59,4,0,2015-06-17,2025-04-16,0.48,4.9,4.92,4.88,4.92,4.92,4.97,4.78,t,f,within a day,100%,100%,t,f,2013-02-26,San Marco,3,3,0,0,IT027042B467PYN2BT
985304,5405444,2025-06-17,Isole,Cannaregio,45.44607,12.3297,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,2,15,2,2,15,15,$400.00,t,26,53,80,344,2025-06-17,,231,14,0,2013-04-29,2024-11-03,1.56,4.93,4.93,4.94,4.97,4.97,4.94,4.85,f,t,within a day,90%,97%,t,t,2013-03-10,Cannaregio,2,2,0,0,IT027042C2OKLO9WLU
1043678,5683149,2025-06-17,Terraferma,Favaro,45.50313,12.27535,Private room in rental unit,Private room,2,1.0,1.0,1.0,2,1125,2,2,1125,1125,$37.00,t,2,2,6,272,2025-06-17,,599,49,4,2013-06-04,2025-05-31,4.09,4.9,4.94,4.97,4.89,4.91,4.7,4.89,f,t,within a day,90%,89%,t,t,2013-03-29,,1,0,1,0,IT027042C1IZ7J9MWY
1152739,3602985,2025-06-17,Isole,Cannaregio,45.44339,12.32315,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,3,28,3,3,28,28,$250.00,t,7,30,60,259,2025-06-17,,116,11,1,2013-05-31,2025-05-22,0.79,4.76,4.86,4.81,4.92,4.98,4.88,4.67,f,t,within a day,100%,89%,t,t,2012-09-18,,1,1,0,0,IT027042C2BHYR7B5A
1464535,7846371,2025-06-17,Isole,Castello,45.4348,12.34393,Entire condo,Entire home/apt,2,1.0,1.0,2.0,3,30,3,3,30,30,$137.00,t,18,30,42,132,2025-06-17,,171,10,2,2013-08-28,2025-06-02,1.19,4.64,4.82,4.64,4.89,4.84,4.89,4.5,f,f,within a day,100%,100%,t,t,2013-07-31,,1,1,0,0,IT027042C2WQZ4RXR6
1526920,8147009,2025-06-17,Isole,Dorsoduro,45.43139,12.32348,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,5,30,5,5,30,30,$112.00,t,2,8,8,31,2025-06-17,,222,14,2,2013-09-03,2025-06-06,1.55,4.96,4.92,4.99,4.99,4.99,4.99,4.9,f,t,within a day,100%,93%,t,t,2013-08-14,,1,1,0,0,IT027042C26HIAOEXW
2402601,12279519,2025-06-17,Isole,Cannaregio,45.44248,12.3383,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,31,365,31,31,365,365,$170.00,t,28,58,88,363,2025-06-17,,12,0,0,2014-05-05,2014-09-15,0.09,4.83,4.83,4.92,4.58,4.58,5.0,4.67,f,f,a few days or more,0%,0%,t,f,2014-02-16,,1,1,0,0,
2744576,14040811,2025-06-17,Isole,Lido,45.42156,12.37597,Entire condo,Entire home/apt,6,2.0,3.0,6.0,3,730,1,7,730,730,$140.00,t,23,24,35,211,2025-06-17,,116,10,1,2014-04-20,2025-06-09,0.85,4.65,4.72,4.73,4.88,4.72,4.82,4.67,f,t,within a day,100%,76%,t,t,2014-04-08,Lido,3,3,0,0,IT027042C2BH9QUYXJ
2910349,14040811,2025-06-17,Isole,Lido,45.41723,12.3741,Entire rental unit,Entire home/apt,5,1.0,3.0,5.0,3,730,1,14,730,730,$114.00,t,1,2,20,110,2025-06-17,,55,15,1,2014-06-08,2025-06-09,0.41,4.82,4.83,4.91,4.91,4.76,4.93,4.74,f,t,within a day,100%,76%,t,t,2014-04-08,Lido,3,3,0,0,IT027042C2ISIE5XOL
3002329,15302231,2025-06-17,Isole,Lido,45.40657,12.36398,Entire rental unit,Entire home/apt,5,1.0,1.0,3.0,3,1124,3,7,1124,1124,$120.00,t,6,10,12,185,2025-06-17,,107,5,0,2014-06-08,2024-08-24,0.8,4.38,4.55,4.58,4.79,4.83,4.73,4.42,f,t,within a day,100%,44%,t,t,2014-05-09,Lido,1,1,0,0,IT027042C26EEL313A
