id,id_anfitrion,ultima_extraccion,zona_grupo,vecindario,latitud,longitud,tipo_propiedad,tipo_habitacion,capacidad,banos,recamaras,camas,noches_minimas,noches_maximas,min_noches_minimas,max_noches_minimas,min_noches_maximas,max_noches_maximas,precio,tiene_disponibilidad,disp_30d,disp_60d,disp_90d,disp_365d,calendario_ultima_extraccion,calendario_actualizado,num_resenas,num_resenas_12m,num_resenas_30d,primera_resena,ultima_resena,resenas_por_mes,calif_total,calif_exactitud,calif_limpieza,calif_checkin,calif_comunicacion,calif_ubicacion,calif_valor,reserva_inmediata,es_superhost,tiempo_respuesta_host,tasa_respuesta_host,tasa_aceptacion_host,host_tiene_foto,host_verificado,antiguedad_host,vecindario_host,total_listados_host,host_total_casas_completas,host_total_habitaciones_privadas,host_total_habitaciones_compartidas,licencia
44527,120215,2025-06-17,Isole,Cannaregio,45.44569,12.32902,Entire rental unit,Entire home/apt,4,2.0,3.0,3.0,2,365,2,2,1125,1125,$454.00,t,26,42,66,325,2025-06-17,,150,11,1,2011-04-27,2025-06-10,0.87,4.87,4.84,4.75,4.94,4.94,4.91,4.72,f,t,within an hour,100%,100%,t,t,2010-05-07,Cannaregio,2,2,0,0,IT027042B4GR0PSZS4
1034640,5694775,2025-06-17,Isole,Alberoni,45.34667,12.31967,Entire rental unit,Entire home/apt,6,2.0,2.0,4.0,2,30,2,2,30,30,$113.00,t,3,3,10,159,2025-06-17,,57,8,1,2013-07-23,2025-06-02,0.39,4.75,4.72,4.44,4.88,4.95,4.81,4.7,f,f,within an hour,100%,93%,t,t,2013-03-30,,1,1,0,0,IT027042C25VNRO9DF
3037526,15178567,2025-06-17,Isole,Castello,45.43833,12.33894,Entire condo,Entire home/apt,4,1.0,2.0,4.0,1,365,1,5,365,1125,$225.00,t,4,27,53,272,2025-06-17,,48,18,2,2014-09-05,2025-05-30,0.37,4.9,4.9,4.79,4.9,4.98,4.98,4.79,t,t,within an hour,100%,100%,t,t,2014-05-06,Castello,20,20,0,0,IT027042B4EA3TFBK3
5079256,1603077,2025-06-17,Terraferma,San Lorenzo XXV Aprile,45.49532,12.23133,Entire rental unit,Entire home/apt,7,2.0,3.0,3.0,2,365,2,2,1125,1125,$161.00,t,6,12,20,20,2025-06-17,,34,3,0,2016-08-15,2024-08-10,0.32,4.56,4.82,4.62,4.82,4.79,4.67,4.58,t,f,within an hour,100%,100%,t,t,2012-01-13,,3,3,0,0,IT027042C2MSF752CH
7318177,38338874,2025-06-17,Isole,Castello,45.43251,12.3504,Entire home,Entire home/apt,4,1.0,2.0,2.0,2,1125,2,2,1125,1125,$144.00,t,23,49,73,325,2025-06-17,,336,17,3,2015-07-18,2025-06-05,2.78,4.85,4.89,4.83,4.88,4.87,4.95,4.82,t,t,within an hour,100%,100%,t,t,2015-07-13,,1,1,0,0,IT027042C23D4UQPN5
10406382,52157101,2025-06-17,Terraferma,Tessera,45.50051,12.32524,Private room in bed and breakfast,Private room,2,,,,31,1125,31,31,1125,1125,,t,0,0,0,0,2025-06-17,,52,0,0,2016-04-16,2019-06-02,0.47,4.35,4.69,4.52,4.88,4.9,4.62,4.46,t,f,,,,t,t,2015-12-24,,1,0,1,0,
12997739,71624806,2025-06-17,Isole,San Marco,45.43355,12.32878,Entire condo,Entire home/apt,4,1.0,1.0,1.0,2,1125,2,2,1125,1125,$326.00,t,29,59,89,352,2025-06-17,,201,10,0,2016-06-25,2025-05-11,1.84,4.91,4.93,4.96,4.93,4.91,4.93,4.82,t,t,within an hour,100%,100%,t,t,2016-05-12,San Marco,1,1,0,0,IT027042B4Y6TEDYOS
15062047,94193482,2025-06-17,Isole,San Polo,45.438351,12.328132,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,2,28,2,2,99,99,$494.00,t,4,10,19,218,2025-06-17,,87,25,1,2017-05-30,2025-06-09,0.89,4.99,4.98,4.97,4.97,4.95,4.99,4.91,t,t,within an hour,100%,100%,t,t,2016-09-08,San Polo,10,10,0,0,IT027042B4L5OEO6UU
17297524,46914920,2025-06-17,Isole,Cannaregio,45.44709,12.32403,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,2,30,2,2,30,30,$263.00,t,12,26,47,275,2025-06-17,,4,0,0,2017-04-17,2023-10-28,0.04,4.75,4.5,4.75,5.0,4.75,5.0,4.75,t,f,within an hour,100%,100%,t,t,2015-10-19,Dorsoduro/Accademia,3,3,0,0,IT027042C26MCCHDZW
19866097,65007872,2025-06-17,Isole,San Marco,45.43356,12.32797,Private room in rental unit,Private room,2,1.0,1.0,1.0,3,21,1,7,1125,1125,$111.00,t,17,38,62,226,2025-06-17,,254,20,1,2017-09-14,2025-05-26,2.69,4.98,4.97,4.99,4.99,5.0,4.98,4.9,t,t,within an hour,100%,100%,t,t,2016-03-30,San Marco,1,0,1,0,IT027042C259PD88G4
