id_anfitrion,zona_grupo,latitud,tipo_propiedad,capacidad,recamaras,noches_minimas,min_noches_minimas,min_noches_maximas,precio,disp_30d,disp_90d,calendario_ultima_extraccion,num_resenas,num_resenas_30d,ultima_resena,calif_total,calif_limpieza,calif_comunicacion,calif_valor,es_superhost,tasa_respuesta_host,host_tiene_foto,antiguedad_host,total_listados_host,host_total_habitaciones_privadas,licencia
120215,Isole,45.44569,Entire rental unit,4,3.0,2,2,1125,$454.00,26,66,2025-06-17,150,1,2025-06-10,4.87,4.75,4.94,4.72,t,100%,t,2010-05-07,2,0,IT027042B4GR0PSZS4
214390,Isole,45.43921,Room in bed and breakfast,2,1.0,2,2,1125,$133.00,10,55,2025-06-17,414,2,2025-05-25,4.93,4.99,4.98,4.88,t,100%,t,2010-08-27,4,0,IT027042B4D3D4AUUS
226598,Isole,45.43549,Entire rental unit,2,2.0,3,3,1125,$140.00,15,63,2025-06-17,137,1,2025-05-24,4.82,4.78,4.96,4.78,t,100%,t,2010-09-07,2,0,IT027042C2L6NZYNJR
290452,Isole,45.44453,Private room in bed and breakfast,2,1.0,1,1,1125,$162.00,0,0,2025-06-17,160,0,2023-05-06,4.89,4.94,4.85,4.8,f,100%,t,2010-11-18,2,2,IT027042B4JG3TJH56
289023,Isole,45.42708,Private room in bed and breakfast,2,1.0,2,1,730,$100.00,14,45,2025-06-17,473,1,2025-06-01,4.86,4.89,4.92,4.77,t,100%,t,2010-11-16,2,2,IT027042C1NT8RRIFS
351965,Isole,45.43218,Private room in bed and breakfast,2,1.0,2,2,8,$141.00,30,90,2025-06-17,6,0,2017-05-11,4.33,4.83,4.17,4.33,f,100%,t,2011-01-18,3,3,IT027042B4XVN5TFC6
368293,Isole,45.43367,Entire rental unit,4,1.0,3,2,1125,$150.00,15,44,2025-06-17,214,1,2025-05-23,4.59,4.54,4.8,4.58,f,100%,t,2011-01-30,3,0,IT027042C2LG7GAX8J
369642,Isole,45.442102837243205,Private room in bed and breakfast,3,1.0,1,1,28,$81.00,1,5,2025-06-17,145,4,2025-06-15,4.48,4.62,4.73,4.33,f,100%,t,2011-01-31,2,2,IT027042B40Z6IVYGS
377929,Terraferma,45.50793,Entire place,2,1.0,3,1,14,$91.00,14,46,2025-06-17,440,3,2025-06-08,4.83,4.94,4.9,4.78,t,100%,t,2011-02-05,5,0,IT027042B4I8XOSCJH
376806,Isole,45.42811,Private room in boat,16,7.0,31,31,1125,,0,0,2025-06-17,50,0,2022-10-13,4.18,4.36,4.16,4.12,f,,t,2011-02-04,1,1,
9609304,Isole,45.43369,Entire rental unit,4,2.0,3,1,365,$147.00,1,39,2025-06-17,533,1,2025-05-29,4.79,4.9,4.89,4.79,t,100%,t,2013-10-24,3,0,IT027042C21DFDGOQF
390175,Isole,45.43331,Entire rental unit,2,1.0,3,3,28,$103.00,16,69,2025-06-17,371,3,2025-06-10,4.7,4.82,4.9,4.65,t,100%,t,2011-02-13,2,0,IT027042B48PUBNHNE
